Source URI	Relationship	Target URI
https://usaybia.net/person/903	source for	https://usaybia.net/person/1392
https://usaybia.net/person/905	serving	https://usaybia.net/person/1497
https://usaybia.net/person/914	nephew of	https://usaybia.net/person/913
https://usaybia.net/person/919	chief qadi under	https://usaybia.net/person/1700
https://usaybia.net/person/922	contemporary of	https://usaybia.net/person/1599
https://usaybia.net/person/938	vizier under	https://usaybia.net/person/1687
https://usaybia.net/person/941	addressee of	https://usaybia.net/person/1093
https://usaybia.net/person/946	vizier under	https://usaybia.net/person/1687
https://usaybia.net/person/947	vizier of	https://usaybia.net/person/1290
https://usaybia.net/person/951	student of	https://usaybia.net/person/1136
https://usaybia.net/person/956	under	https://usaybia.net/person/1497
https://usaybia.net/person/965	son of	https://usaybia.net/person/702
https://usaybia.net/person/966	son of	https://usaybia.net/person/966
https://usaybia.net/person/967	courtier and assistant to	https://usaybia.net/person/1199
https://usaybia.net/person/981	vizier to	https://usaybia.net/person/1667
https://usaybia.net/person/992	commander under	https://usaybia.net/person/1688
https://usaybia.net/person/993	companion of	https://usaybia.net/person/1497
https://usaybia.net/person/1002	vizier to	https://usaybia.net/person/1668
https://usaybia.net/person/1003	patronized by	https://usaybia.net/person/1981
https://usaybia.net/person/1009	vizier under	https://usaybia.net/person/43
https://usaybia.net/person/1011	copyist of	https://usaybia.net/person/1070
https://usaybia.net/person/1028	teacher of	https://usaybia.net/person/1136
https://usaybia.net/person/1033	servant of	https://usaybia.net/person/1702
https://usaybia.net/person/1034	addressee of	https://usaybia.net/person/2000
https://usaybia.net/person/1035	vizier of	https://usaybia.net/person/598
https://usaybia.net/person/1037	physician to	https://usaybia.net/person/1502
https://usaybia.net/person/1046	physician to	https://usaybia.net/person/815
https://usaybia.net/person/1047	student of	https://usaybia.net/person/1136
https://usaybia.net/person/1055	under	https://usaybia.net/person/2292
https://usaybia.net/person/1062	son of	https://usaybia.net/person/2273
https://usaybia.net/person/1063	under	https://usaybia.net/person/1981
https://usaybia.net/person/1067	under	https://usaybia.net/person/1668
https://usaybia.net/person/1070	physician of	https://usaybia.net/person/1981
https://usaybia.net/person/1081	son of	https://usaybia.net/person/148
https://usaybia.net/person/1092	follower then critic of	https://usaybia.net/person/1704
https://usaybia.net/person/1093	physician at	https://usaybia.net/person/1688
https://usaybia.net/person/1100	friend of	https://usaybia.net/person/1139
https://usaybia.net/person/1103	student of	https://usaybia.net/person/1026
https://usaybia.net/person/1104	during	https://usaybia.net/person/1687
https://usaybia.net/person/1112	commentator on 	https://usaybia.net/person/565
https://usaybia.net/person/1117	teacher of	https://usaybia.net/person/2228
https://usaybia.net/person/1126	physician of	https://usaybia.net/person/1552
https://usaybia.net/person/1138	father of	https://usaybia.net/person/1139
https://usaybia.net/person/1139	physician of	https://usaybia.net/person/1683
https://usaybia.net/person/1141	son of	https://usaybia.net/person/1139
https://usaybia.net/person/1143	contemporary of	https://usaybia.net/person/1136
https://usaybia.net/person/1148	student of	https://usaybia.net/person/1136
